ECA	logFC	PValue	FDR
ECA3461	2.2679339415	0.0001183727	0.0047133875
ECA3481	1.5074537507	0.0012363579	0.0300411016
ECA3560	-1.9393878386	0.0021131384	0.0438651486
ECA3760	-2.807521183	0.000000851	9.09071373147515E-005
ECA3761	-2.8996748532	6.68215819719655E-007	7.70206655361076E-005
ECA3762	-3.7196232221	3.07083055668382E-010	1.47833960488454E-007
ECA3763	-4.0739606148	1.42883260867958E-012	1.56457170650413E-009
ECA3764	-3.3112935847	4.74332960287147E-010	1.888707605507E-007
ECA3765	-3.2391949428	3.13685558390437E-010	1.47833960488454E-007
ECA3766	-3.2932388275	9.04115969108077E-007	9.42863796355566E-005
ECA3767	-1.8839890813	0.0004977236	0.0144372796
ECA3768	-4.1269466703	2.98052117272641E-014	4.35156091218055E-011
ECA3769	-3.332791074	6.58509331031689E-009	1.80266929369925E-006
ECA3770	-2.9195173256	2.84849386187342E-005	0.0014678121
ECA3771	-2.3419187784	0.0001401156	0.0053365751
ECA3775	-2.0762821336	0.0002018063	0.0069665408
ECA3776	-1.8135588667	0.0015881351	0.0364190153
ECA3788	-1.6347996185	0.0020588734	0.0435645681
ECA3789	-1.6214456268	0.0010936851	0.0275306932
ECA3792	-2.0158895074	0.0003721859	0.0113998184
ECA3990	2.5618500021	0.0006853564	0.0189991199
ECA3991	2.4865027641	0.0020401718	0.0433784094
ECA4046	-3.1548132974	2.63090573151329E-005	0.0013718294
ECA4047	-3.9418945543	3.03879680851166E-006	0.00023842
ECA4079	-3.3696103654	3.37520457736197E-010	1.47833960488454E-007
ECA4080	-3.0546739794	7.20417789614535E-009	1.85613524618333E-006
ECA4081	-3.0355039475	5.96883352613037E-008	1.00551887863273E-005
ECA4113	-2.0447288417	0.0011180679	0.0278246433
ECA4164	-1.9173176707	0.0003607965	0.0111789496
ECA4165	-2.0225816045	0.0013651227	0.032852953
ECA4233	-2.3771121657	8.82307974928866E-006	0.0005945398
ECA4234	-2.1193354502	0.0005218913	0.0149404163
ECA4235	-2.2796663008	0.000077027	0.0033828029
ECA4236	-2.3400127998	0.0004253219	0.012798184
ECA4327	-3.1032577224	0.000001262	0.000120165
ECA4328	-3.0191772637	0.000011786	0.0007591539
ECA4329	-2.7723383673	2.39767281093421E-006	0.0002019578
ECA4330	-2.7594172219	3.77439607232903E-007	4.59218188800032E-005
ECA4331	-2.6594415348	9.45625393550385E-005	0.0039446088
ECA4385	-3.3316198681	0.0001926355	0.006899925
ECA4412	-3.7489093651	0.0017320183	0.0387053067
ECA4415	-3.1165782007	1.34445767601292E-005	0.0008293978
ECA4416	-2.9575011992	2.58862583012164E-006	0.0002139279
ECA4417	-2.1148578354	0.000895375	0.0236249538
ECA4418	-2.2404363316	7.34556301042213E-005	0.0033168625
ECA4419	-2.2225289553	5.40055922122824E-005	0.002489942
ECA4461	-1.6674117219	0.0009355393	0.0242465208
ECA4470	-1.808366161	0.0002587741	0.0084935436
